年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2008,14,506,781684,5,0,0,2,2,170,20,32,128,147,31.0,6.0,18.0,0.0,6.0,1.0,537.0,249.6,10.4,8.967574438182703,38.6,1.0,37.6,1.9328060940949392,36.21,13.37,17.61,1.505922177176756,20.977314814814815,19.293611111111108,19.51574404761905,22.406785714285718,22.86035714285714,21.122278911564624,1.4900317644621746,79.42971589308151,2.217020462803596,10.15,,,2008-04-13
2008,15,784,990963,9,0,0,5,4,267,32,41,212,214,55.0,12.0,37.0,0.0,6.0,0.0,839.0,34.40000000000001,1.4333333333333336,3.1642935425128322,14.8,0.0,14.8,1.9000347908220323,34.55,19.44,14.06,1.7234078890568223,25.439891203703702,23.923931746031734,23.95125892857143,27.2583373015873,27.781736111111112,24.996057256235822,1.6969892322873357,72.53954252874189,2.3654932837719436,8.95,,,2008-04-20
2008,16,1124,963743,10,1,1,12,4,336,42,64,305,349,64.0,10.0,42.0,1.0,9.0,2.0,1188.0,27.0,1.125,2.5733162498494293,9.0,0.0,9.0,2.2463643649093266,32.36,19.31,11.16,2.117798296932756,25.115410879629632,22.731523809523807,23.133040674603176,27.2868253968254,27.755922619047624,25.201298185941052,2.106952452844606,73.44830381631054,2.272307349315963,10.02,,,2008-04-27
2008,17,1473,957217,13,0,0,13,3,420,51,79,447,447,65.0,9.0,41.0,0.0,12.0,3.0,1538.0,76.4,3.1833333333333336,7.637417425251564,33.4,0.0,33.4,1.9694262181638045,30.73,16.41,10.02,1.7268997594670967,23.452748842592587,21.79207142857143,22.075833333333332,25.408784722222233,25.713005952380954,23.016445578231288,1.7168662107173565,65.62260521324555,2.7107279883611533,14.59,,,2008-05-04
2008,18,1586,935365,19,0,0,6,6,441,58,67,478,511,62.0,10.0,34.0,0.0,13.0,5.0,1648.0,217.2,9.05,12.192549399923106,45.6,0.0,45.6,1.8218749462151769,32.14,18.82,10.599999999999998,1.6193977796593677,25.636056547619052,23.884404761904765,24.05008928571429,27.04166666666667,27.81229166666667,25.746734693877553,1.6107372267920237,74.28771825396827,1.75801904168919,7.47,,,2008-05-11
2008,19,2461,921665,41,1,0,24,7,721,81,72,751,763,131.0,11.0,86.0,0.0,29.0,5.0,2592.0,418.8,17.45,42.29166841579207,167.4,0.0,167.4,2.1832335378674084,33.75,17.74,9.94,1.4374754198293056,24.74796626984127,23.494380952380954,24.01924107142857,26.60625000000001,26.44150297619048,24.030187074829932,1.4198407733272325,73.08234515442723,2.840008980463084,15.55,,,2008-05-18
2008,20,3280,978564,46,0,0,30,9,912,118,89,1006,1070,152.0,14.0,106.0,0.0,24.0,8.0,3432.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8946326316572306,31.48,17.84,11.439999999999998,2.840837685364971,25.220869708994712,21.989992063492064,22.971507936507937,28.11258928571429,28.887202380952377,25.066530612244897,2.8249954786794014,64.4177593708166,2.498286897590361,12.66,1682.0,,2008-05-25
2008,21,3401,902964,33,0,0,26,17,1036,133,71,992,1093,153.0,6.0,111.0,0.0,30.0,6.0,3554.0,361.8,15.075,27.459618572986642,96.79999999999998,0.0,96.79999999999998,2.1541662162504416,33.03,19.17,9.810000000000002,1.810687879401941,26.332307374338626,24.40607142857143,25.270327380952377,28.59080357142857,28.56158234126984,25.75059523809524,1.7969794540832644,75.34560201316299,2.1626162650019354,9.7,2113.0,,2008-06-01
2008,22,4591,839713,61,0,0,32,15,1338,162,91,1415,1477,208.0,19.0,137.0,0.0,45.0,7.0,4799.0,1583.6000000000006,65.98333333333335,63.309753810421924,242.80000000000004,0.0,242.80000000000004,1.5387728157349434,35.01,21.37,9.09,1.1151918613614071,26.825826719576717,25.64698809523809,26.085322420634927,27.953611111111112,28.204761904761906,26.65858843537416,1.0910979520606146,80.10195860386959,2.1852836053855373,7.6,2678.714285714286,,2008-06-08
2008,23,6422,872151,72,0,0,53,21,1811,201,121,1888,2255,313.0,43.0,187.0,2.0,68.0,13.0,6735.0,1588.4,66.18333333333334,45.73013150578327,193.8,9.2,184.6,1.512885469273786,38.06,20.99,9.86,1.3501525421528913,26.127283399470898,24.606535714285712,25.00592261904761,27.443794642857146,27.842301587301588,26.12200680272109,1.3283881124045158,81.27109748517881,1.547307384299101,5.75,3471.1428571428573,,2008-06-15
