年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2008,14,375,473289,0,0,0,1,0,102,17,27,92,136,22.0,5.0,11.0,0.0,6.0,0.0,397.0,1308.4,54.51666666666667,24.449338333123368,93.4,13.8,79.6,1.5719893743017053,31.9,11.62,12.36,1.0915903945616872,18.544529596560853,17.158444444444445,17.601383928571426,19.753273809523808,19.68869047619048,18.72901360544218,1.0770696928751855,87.60062036910709,2.3774294375527663,10.91,,,2008-04-13
2008,15,593,669047,2,0,0,0,0,168,35,31,148,209,50.0,7.0,31.0,0.0,7.0,5.0,643.0,182.4,7.6,19.421368778162662,93.2,0.0,93.2,1.6126832502743351,32.74,17.49,10.84,0.914508329681532,23.26262235449736,22.668642857142853,22.484047619047622,24.23754960317461,24.470892857142854,22.88425170068027,0.8949481107127614,77.70088209982787,2.813702667814114,11.26,,,2008-04-20
2008,16,733,656682,1,0,0,1,0,228,25,19,183,276,49.0,8.0,25.0,0.0,11.0,5.0,782.0,656.6,27.35833333333333,36.61389516072525,110.6,0.0,110.6,2.03848023365274,32.73,16.64,11.46,1.8653231712805207,23.40156332671958,21.29013888888889,21.69291666666667,25.187723214285718,25.803705357142853,23.492777777777786,1.8531730072362604,77.09158460642806,2.4060693062610485,10.01,,,2008-04-27
2008,17,958,641813,1,0,0,2,1,266,37,28,269,354,55.0,6.0,34.0,2.0,13.0,0.0,1013.0,230.8,9.616666666666667,10.88132291616222,44.2,0.6000000000000001,43.6,1.7123666018430057,29.39,13.65,11.32,1.3993378717581275,21.438389963624328,20.1328507936508,20.165194444444445,22.965742559523807,23.20755357142857,21.214734693877553,1.3847078280357348,68.5880547102404,2.8341411613595304,9.37,,,2008-05-04
2008,18,1208,629496,2,0,0,2,1,309,48,35,334,477,58.0,8.0,37.0,0.0,12.0,1.0,1266.0,239.2,9.966666666666667,12.685584652313604,40.6,0.0,40.6,1.8050513450469448,31.96,17.97,10.39,1.6475219131919687,24.200163690476195,22.315023809523808,22.763720238095242,25.651011904761905,26.393184523809524,24.28530612244898,1.639182747251671,78.225248015873,1.9816025411168483,7.52,,,2008-05-11
2008,19,1671,600043,2,0,0,1,0,470,55,23,510,610,100.0,10.0,57.0,1.0,25.0,7.0,1771.0,1204.1999999999996,50.17499999999999,35.39915560280081,123.0,0.6000000000000001,122.4,2.0880161544212514,35.64,14.68,12.220000000000002,1.001176000099447,22.147798445767197,21.566599206349206,21.717584325396825,23.42854662698413,23.37866071428572,21.373571428571427,0.9880625343547428,79.28108079530665,3.103633231683564,11.86,,,2008-05-18
2008,20,2406,654565,3,0,0,0,4,671,88,53,719,868,89.0,10.0,48.0,0.0,25.0,6.0,2495.0,0.2,0.008333333333333333,0.0408248290463863,0.2,0.0,0.2,2.6391971555813303,31.85,14.35,13.2,2.5770395229592533,23.591390542328053,20.50495634920636,21.898129960317466,26.420773809523805,26.79607142857143,23.31552721088435,2.5666339355643766,64.81154929240772,3.425907738095237,12.27,1195.2857142857142,,2008-05-25
2008,21,2532,605285,6,0,0,2,2,760,77,65,705,915,129.0,13.0,87.0,0.0,22.0,7.0,2661.0,179.0,7.458333333333332,10.264074818709084,42.2,0.0,42.2,2.1453616190293623,32.37,15.74,12.8,1.708353411501042,25.417006448412696,23.567738095238088,24.3578373015873,27.62824900793651,27.32877976190476,24.987142857142853,1.6996334477067063,74.74452664898854,2.3469507282906306,8.65,1518.7142857142858,,2008-06-01
2008,22,3204,566496,5,0,0,4,2,939,93,42,1009,1110,187.0,20.0,123.0,0.0,39.0,5.0,3391.0,1216.8,50.7,72.69418970860949,297.2,4.2,293.0,1.7069199844724032,33.98,19.31,10.79,1.2654023763851037,26.26336144179894,25.069472222222235,25.3584126984127,27.69130952380952,27.930773809523807,25.864475623582763,1.254800473579328,78.18318553540526,3.0981696763826503,10.18,1911.2857142857142,,2008-06-08
2008,23,4436,586815,19,0,0,8,3,1309,158,54,1250,1635,277.0,30.0,161.0,1.0,71.0,14.0,4713.0,736.6,30.691666666666666,22.99549892945341,74.6,4.8,69.8,1.4051117841921663,31.61,19.68,8.41,1.2027245989344622,25.112021329365078,23.719047619047622,24.26770833333333,26.50617063492064,26.548035714285717,24.972230725623582,1.1945038889102155,83.42938037865748,1.8268375884490344,7.21,2472.8571428571427,,2008-06-15
2008,24,6012,580140,23,0,0,6,5,1791,205,69,1700,2213,404.0,33.0,240.0,0.0,101.0,30.0,6416.0,979.2,40.8,49.96294278937054,138.0,0.2,137.8,1.9615295113551083,33.58,21.17,9.1,1.4155007915553544,26.804050099206357,25.22659523809524,26.28116071428571,28.63258928571429,28.352574404761906,26.29984693877552,1.3986811359607385,76.89060766877033,2.883345943296997,10.28,3244.714285714286,,2008-06-22
2008,25,7207,589406,16,1,0,5,9,2100,292,96,1931,2757,544.0,67.0,310.0,0.0,126.0,41.0,7751.0,693.4000000000003,28.89166666666667,47.48564924330267,133.6,0.0,133.6,2.1112260742842768,34.78,21.92,11.04,1.9842395886808784,27.75898313492064,25.645714285714284,26.576279761904765,30.27916666666667,30.04392857142857,27.19850340136055,1.9721613591750675,76.55144345238095,2.085023068464334,7.39,4171.142857142857,,2008-06-29
2008,26,6676,577220,20,0,1,10,9,1984,294,116,1759,2483,585.0,65.0,347.0,2.0,131.0,40.0,7261.0,261.8,10.908333333333333,17.970505223031836,70.2,0.0,70.2,1.9799217347127929,36.06,23.39,9.380000000000004,1.83056752061853,29.077475198412696,27.27390476190477,28.11876984126984,31.70731150793651,30.97898809523809,28.324229024943318,1.820182995393288,72.33726639388672,2.8103459538135334,10.2,4955.428571428572,1.0,2008-07-06
2008,27,4874,573705,6,1,0,10,6,1502,243,113,1268,1725,414.0,52.0,237.0,1.0,92.0,32.0,5288.0,383.20000000000016,15.966666666666667,24.79022715343368,81.4,0.0,81.4,1.9536955292956284,34.29,22.54,8.739999999999998,1.7728736385977293,28.55244708994709,26.71476587301587,27.637807539682537,30.98136904761905,30.38095238095239,27.95491213151927,1.7597583501230227,74.62202291162326,2.2269945417558734,8.92,5354.428571428572,1.0,2008-07-13
2008,28,3201,563183,11,0,1,6,1,1076,137,92,841,1036,206.0,27.0,124.0,0.0,38.0,17.0,3407.0,409.8,17.075,28.64388924891918,75.4,0.0,75.4,2.14750857405035,35.11,22.53,9.62,2.0082816906494823,27.92910879629629,25.80926190476191,27.065773809523808,30.73219742063492,29.93668650793651,27.18766723356009,1.9844691572008628,75.96730353469627,2.1124938298490132,7.45,5461.0,1.0,2008-07-20
2008,29,2153,542825,6,0,0,4,1,758,78,62,601,643,154.0,17.0,105.0,0.0,21.0,11.0,2307.0,1836.4,76.51666666666667,116.46316703302513,423.4,1.6,421.8,1.8483312889366117,36.13,21.67,8.91,1.3701521395952092,28.431583167989416,26.949559523809523,27.29333333333333,29.87473214285714,30.083501984126983,28.37198979591837,1.3579716385618608,74.01169917037487,3.320764366991777,13.93,5306.142857142857,1.0,2008-07-27
2008,30,1603,546524,3,0,0,1,2,643,42,39,421,452,117.0,23.0,64.0,1.0,23.0,6.0,1720.0,392.4,16.35,28.55555987894477,105.6,0.4,105.2,2.100054862240143,36.77,23.69,10.110000000000003,2.0564848197713936,29.247276785714284,27.11809523809524,27.755357142857147,31.42979166666667,32.02497023809524,28.786241496598638,2.046954949216922,74.1929761904762,3.075540674603174,15.31,4878.571428571428,1.0,2008-08-03
2008,31,1044,517057,2,0,0,0,1,455,32,30,283,241,83.0,8.0,56.0,1.0,13.0,5.0,1127.0,615.6,25.65,24.29193818676404,88.19999999999996,1.4,86.79999999999998,1.6040170328776984,34.77,22.18,8.550000000000004,1.4837185198306848,27.77846312830688,26.2183253968254,26.547876984126983,29.442827380952377,29.658531746031752,27.570649092970523,1.4755797445606236,78.71545024173348,2.3402841111834096,16.93,4123.0,1.0,2008-08-10
2008,32,818,554241,5,1,0,0,1,343,42,29,229,168,54.0,8.0,31.0,1.0,8.0,6.0,872.0,85.4,3.5583333333333336,6.964501084953526,23.8,0.0,23.8,2.0600040470700516,36.62,21.95,9.430000000000003,1.971644641929388,28.536270667989417,26.44111904761905,27.18482142857143,30.858184523809523,30.967817460317463,28.088801020408173,1.956937547577184,72.65072366848345,2.168835759705489,10.94,3140.285714285714,0.0,2008-08-17
2008,33,669,548258,3,0,0,3,0,263,29,18,201,152,47.0,8.0,29.0,0.0,8.0,2.0,716.0,22.4,0.9333333333333332,2.867913446433118,10.6,0.0,10.6,1.9736169717809733,35.87,23.01,8.889999999999997,1.9178843116664697,29.177609953703705,27.178634920634927,27.779538690476194,31.62559523809524,31.39949404761905,28.73585034013605,1.909413968892714,71.92109934074277,2.6532183831143388,8.31,2205.285714285714,0.0,2008-08-24
2008,34,604,569689,3,0,1,1,0,237,29,21,175,137,35.0,7.0,26.0,0.0,2.0,0.0,639.0,7.2,0.3,0.8172062695283986,3.4,0.0,3.4,2.0519217025263408,37.93,23.01,10.18,1.9865949280996589,29.628718584656085,27.6395,28.195089285714282,32.048298611111115,32.049811507936504,29.102706916099766,1.976862421021932,71.4464300655001,2.3125157059713892,9.73,1541.142857142857,0.0,2008-08-31
2008,35,564,574143,8,0,0,0,0,254,18,20,135,129,40.0,3.0,29.0,1.0,6.0,1.0,604.0,3.4000000000000004,0.1416666666666667,0.41902232654707977,1.8,0.0,1.8,1.9085736555458104,35.6,22.44,10.580000000000002,1.8644236446620024,28.92411292989418,26.970472222222234,27.41395337301587,30.975654761904764,31.355193452380966,28.621020408163265,1.855983942096837,73.71425983696693,2.151772865270606,7.08,1140.7142857142858,0.0,2008-09-07
2008,36,515,576268,4,0,0,0,0,213,25,26,132,115,39.0,9.0,23.0,0.0,6.0,1.0,554.0,699.6,29.15,42.332935066025705,196.2,0.0,196.2,2.00116128715523,35.47,21.17,10.18,1.7097583439580917,27.221843584656085,25.59413492063492,25.981860119047607,29.482886904761905,29.19883928571429,26.671318027210887,1.6987916836803434,77.49551159341198,1.8472337841493731,9.17,890.2857142857143,0.0,2008-09-14
2008,37,459,545310,1,0,0,0,0,184,16,23,137,98,34.0,2.0,27.0,0.0,3.0,2.0,493.0,4674.6,194.775,140.60740672555966,488.20000000000016,43.0,445.20000000000016,1.5309863225308469,35.36,22.1,9.239999999999998,1.3569719905257396,27.590191798941802,26.418833333333332,26.75083333333333,29.359136904761897,29.23169642857143,26.95768140589569,1.3385961506466113,77.51580488621151,4.59245989912029,15.16,715.0,0.0,2008-09-21
2008,38,558,617134,1,0,0,4,0,230,16,26,116,165,35.0,5.0,24.0,0.0,3.0,3.0,593.0,903.6,37.65,63.41129374104461,225.0,0.0,225.0,2.0177544370527314,35.94,22.35,11.98,1.9324736028863736,28.277790178571433,26.234884920634922,26.5884871031746,30.44295138888889,30.704672619047624,28.078299319727893,1.9151226507967232,75.68663224325876,2.361456540447504,11.73,638.7142857142857,0.0,2008-09-28
2008,39,617,617980,1,0,0,1,2,254,21,27,160,151,52.0,11.0,30.0,0.0,10.0,1.0,669.0,1663.0,69.29166666666667,55.31629146507633,202.00000000000003,13.4,188.6,1.682471848776088,38.08,20.86,12.260000000000002,1.3767215042456094,28.179761078042326,26.847904761904758,27.094375,29.83553571428571,29.88141865079365,27.832774943310657,1.3589607102161956,75.62939143478677,4.162208944663671,24.94,609.7142857142857,0.0,2008-10-05
2008,40,550,592034,0,0,0,0,1,196,17,17,162,157,52.0,10.0,25.0,0.0,17.0,0.0,602.0,1625.0,67.70833333333333,46.08815670436166,202.2,26.4,175.79999999999995,1.6730368333282837,32.18,19.08,8.43,1.2962249032211641,24.987023809523805,23.7175,24.080565476190475,26.55383928571429,26.667857142857148,24.55600340136055,1.2894834245612772,80.72972718253969,2.8093725497227005,13.81,593.4285714285714,0.0,2008-10-12
2008,41,544,578986,0,0,0,1,0,252,21,22,124,124,37.0,6.0,26.0,0.0,4.0,1.0,581.0,287.2,11.966666666666667,12.57169583755048,50.8,0.0,50.8,1.6633748125875398,31.84,18.98,9.03,1.3541693099830645,25.00103505291005,23.83726587301588,24.24648809523809,26.82591269841269,26.60038194444445,24.306768707482995,1.3350357281297969,77.17020474756167,3.6802992326448662,11.26,585.1428571428571,0.0,2008-10-19
2008,42,605,640792,1,0,0,2,0,215,22,29,180,156,51.0,8.0,30.0,2.0,9.0,2.0,656.0,9.4,0.3916666666666666,0.7064403520570528,3.0,0.0,3.0,1.868910326249484,33.64,18.63,9.160000000000004,1.807202568242162,26.149288194444452,24.33288492063493,24.74334325396825,28.283184523809524,28.495694444444442,25.6899433106576,1.7924847557133892,74.45456286528228,3.785699694830425,12.46,592.5714285714286,0.0,2008-10-26
2008,43,633,628057,3,0,0,0,1,236,24,19,192,158,60.0,9.0,37.0,0.0,10.0,4.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81133881943422,31.99,20.68,8.41,1.7341745190742708,26.201450231481484,24.562500793650788,25.00838293650794,28.409682539682546,28.355128968253972,25.561360544217692,1.7196307535595643,75.59226492643046,2.489008757154052,10.76,612.4285714285714,0.0,2008-11-02
2008,44,664,617077,8,0,1,2,1,251,38,32,168,163,67.0,10.0,44.0,0.0,10.0,3.0,731.0,1.4,0.05833333333333333,0.20834057958412536,1.0,0.0,1.0,1.7994200342700404,32.21,19.64,9.56,1.6892164652549368,25.234151785714282,23.535051587301588,23.965535714285718,27.40169642857143,27.244598214285716,24.785294784580497,1.6798430185041346,78.5404118579428,2.56420007847884,10.1,646.4285714285714,0.0,2008-11-09
2008,45,604,605937,5,0,0,0,1,251,22,19,161,145,48.0,8.0,33.0,1.0,6.0,0.0,652.0,1003.2,41.8,29.210659162293002,132.2,12.2,120.0,1.6150553959889182,31.56,15.52,9.89,1.063430520008763,24.306223544973548,23.763638888888888,23.874404761904763,25.931522817460323,25.299315476190475,23.444314058956913,1.0504755483608017,83.80006818942434,2.8871572002294896,10.59,654.8571428571429,0.0,2008-11-16
