年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2008,14,677,1030343,2,0,0,1,2,155,43,39,190,245,62.0,6.0,39.0,1.0,14.0,2.0,739.0,1800.6,75.02499999999998,20.863891212373083,110.0,40.2,69.79999999999998,1.7151134512996429,33.99,7.42,12.970000000000002,1.2856201809775487,18.930661075036074,17.39799350649351,17.706983225108228,20.065051406926404,20.525056818181817,19.165361781076065,1.266502976633224,84.8108413286193,1.9217337689151168,9.66,,,2008-04-13
2008,15,1108,1480666,3,0,1,3,2,261,49,88,291,410,57.0,10.0,28.0,2.0,12.0,5.0,1165.0,627.2,26.133333333333336,55.54102805225566,197.0,0.0,197.0,1.8019937884562718,36.95,12.42,13.420000000000002,1.0319154753248736,23.08538149350649,22.32587445887446,22.146239177489186,23.93748647186147,24.60356331168832,22.810089672232532,0.9995080875496808,77.57156514360587,2.1628971391873155,10.19,,,2008-04-20
2008,16,1484,1445295,6,0,0,1,1,389,62,83,434,508,74.0,5.0,50.0,3.0,13.0,3.0,1558.0,783.0,32.625,35.12765849447338,112.8,0.4,112.4,1.7191544004742334,35.54,12.25,12.93,1.5408169186734932,23.36071383477633,21.579067099567094,22.164799783549785,25.185254329004326,25.11744588744589,23.27025664811379,1.5252089767845562,75.68499107572423,2.4991251319547825,8.17,,,2008-04-27
2008,17,1712,1415947,8,0,0,4,2,436,63,76,514,609,108.0,11.0,62.0,1.0,32.0,2.0,1820.0,513.2,21.383333333333336,34.41697845246008,170.79999999999995,0.2,170.6,1.7970674531687842,31.05,9.26,14.72,1.436590387541714,21.575898268398266,20.177655844155844,20.45285714285714,23.17390422077921,23.4390395021645,21.238582251082253,1.4183367322655274,67.35728986181938,2.174051625492716,12.89,,,2008-05-04
2008,18,2074,1403143,7,0,2,3,3,548,77,96,573,765,136.0,22.0,76.0,2.0,30.0,6.0,2210.0,464.8,19.366666666666664,19.661630404036373,72.39999999999998,0.8,71.6,1.9278156616798048,37.17,14.7,16.150000000000002,1.7358037163459925,24.17047961760461,22.25566493506494,22.765672077922076,25.82115909090909,26.518186147186146,24.056159554730982,1.716326900341884,76.57267623263614,1.8913059118044808,7.83,,,2008-05-11
2008,19,2770,1354831,13,1,0,7,3,762,105,96,878,905,193.0,20.0,119.0,3.0,39.0,12.0,2963.0,2082.6,86.77499999999998,75.3817718134771,307.3999999999998,3.6000000000000005,303.7999999999999,1.9842091660918304,34.72,10.34,13.199999999999996,1.0749560436741534,22.16911498917749,21.53662987012987,21.598357683982684,23.430877705627704,23.522627164502158,21.45259431045145,1.0420019724338114,78.60598803338057,2.182727241105148,13.08,,,2008-05-18
2008,20,3448,1481624,18,0,1,4,5,885,123,119,950,1343,248.0,18.0,167.0,3.0,49.0,11.0,3696.0,8.6,0.3583333333333333,0.4826707102080606,1.7999999999999998,0.0,1.7999999999999998,2.044574608349556,38.35,11.9,14.37,1.953986102925936,23.79102002164502,21.47402380952381,22.73270833333333,26.198963744588752,25.99954816017316,23.41278293135436,1.93373208862076,64.4135288799664,2.9979573859517563,9.13,2021.5714285714287,,2008-05-25
2008,21,3680,1359769,10,0,0,8,7,941,136,116,1068,1394,252.0,24.0,153.0,6.0,59.0,10.0,3932.0,1097.4,45.725,68.87184854306678,213.0,0.2,212.79999999999995,2.2973311857817413,36.45,12.88,12.65,1.7583848947228895,25.323349567099573,23.53063636363636,24.54527597402597,28.002405303030304,26.786425865800872,24.681539888682753,1.7297005564603125,75.10389779998758,1.8381609070774447,12.69,2477.714285714286,,2008-06-01
2008,22,4567,1290422,26,0,0,16,12,1241,173,120,1320,1659,325.0,38.0,180.0,4.0,84.0,19.0,4892.0,2229.6,92.9,147.80198268953134,530.0000000000001,3.6,526.4000000000002,2.0378685893561532,36.64,15.65,13.53,1.6070039480708578,26.387709235209236,24.7444025974026,25.46315476190476,28.437048160173163,28.19121482683983,25.88819109461967,1.5859311913849319,78.06861454499034,2.131009395887359,9.69,3010.1428571428573,,2008-06-08
2008,23,5411,1337787,16,0,2,15,12,1452,202,105,1463,2144,387.0,37.0,218.0,16.0,90.0,26.0,5798.0,1020.2,42.50833333333333,42.2803471322456,158.2,2.6000000000000005,155.6,1.7216704911382656,34.33,15.3,11.06,1.3988861265896038,25.662574404761912,24.12217748917749,24.54985930735931,27.22603896103897,27.37314935064936,25.527815398886823,1.3809244576271371,79.47538587581153,1.6878732104883425,7.02,3615.8571428571427,,2008-06-15
