年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2008,14,72,80428,0,0,0,1,0,24,2,1,20,24,3.0,0.0,2.0,0.0,0.0,1.0,75.0,19.200000000000006,0.8000000000000002,0.9250146884850228,4.0,0.0,4.0,1.9399471816482088,31.63,15.66,12.75,1.7060775067186,22.223115079365087,20.278666666666666,20.5975,23.879880952380947,24.357976190476194,22.374285714285715,1.6990787035563617,78.90865079365079,1.7882539682539684,5.16,,,2008-04-13
2008,15,78,112816,1,0,0,0,0,29,3,0,15,30,4.0,0.0,2.0,0.0,2.0,0.0,82.0,20.0,0.8333333333333334,1.2849180879548796,5.8000000000000025,0.0,5.8000000000000025,2.360474725282429,38.12,19.81,14.770000000000005,1.983063263178585,25.307857142857145,23.228571428571428,23.899642857142855,27.69654761904762,27.680238095238096,24.877142857142854,1.9695984143556275,77.18910714285714,1.7557341269841271,5.47,,,2008-04-20
2008,16,114,110244,1,0,0,0,0,32,1,3,28,49,5.0,1.0,3.0,0.0,1.0,0.0,119.0,243.8,10.158333333333333,9.170648673973355,36.40000000000001,0.2,36.2,1.4717298476466076,30.72,20.38,9.48,1.3108350317331114,24.11176587301588,22.693619047619052,23.256785714285716,25.774285714285718,25.66583333333334,23.77523809523809,1.301803718236998,85.33626984126984,1.7392658730158732,7.92,,,2008-04-27
2008,17,125,108589,0,0,0,0,0,33,6,3,43,40,7.0,0.0,6.0,0.0,1.0,0.0,132.0,17.8,0.7416666666666667,0.9107649277520452,3.0000000000000004,0.0,3.0000000000000004,1.541294442365113,30.16,16.72,10.48,1.2402115857644245,22.699642857142855,21.49180952380952,21.867738095238096,24.430615079365076,23.96333333333333,22.326519274376416,1.2156074089088662,78.54606944444446,1.877123015873016,5.69,,,2008-05-04
2008,18,186,108704,0,0,0,0,1,75,4,5,46,55,17.0,2.0,11.0,0.0,4.0,0.0,203.0,24.20000000000001,1.0083333333333335,1.246182576708868,5.2,0.0,5.2,1.6869917742864062,29.45,19.23,9.0,1.5925041184278328,24.938710317460323,23.05923809523809,23.627261904761905,26.82071428571428,26.58619047619048,25.01374149659864,1.5871704123248307,80.6113492063492,1.611765873015873,5.26,,,2008-05-11
2008,19,190,110921,1,0,0,0,0,69,8,4,65,43,14.0,1.0,13.0,0.0,0.0,0.0,204.0,16.8,0.7000000000000001,1.3679562667812473,5.6,0.0,5.6,2.020084171910914,34.37,19.38,11.72,1.5164256810199035,24.944523148148146,23.461444444444453,24.27220238095238,27.15453174603175,26.33833333333333,24.328723356009068,1.4970196335677817,76.2160109649123,2.242595272904484,6.1,,,2008-05-18
2008,20,245,111895,0,0,0,0,1,73,16,3,75,77,20.0,6.0,12.0,0.0,2.0,0.0,265.0,22.8,0.95,1.323039977706152,4.6,0.0,4.6,2.4412975448937457,31.67,16.11,12.989999999999998,2.309601531816024,24.465694444444452,21.718952380952377,22.84916666666667,27.40833333333333,26.800119047619052,24.33591836734693,2.292913509233081,71.14926587301586,2.4185515873015877,5.73,154.28571428571428,,2008-05-25
2008,21,191,106880,1,0,0,1,0,76,1,2,48,62,23.0,2.0,20.0,0.0,1.0,0.0,214.0,69.00000000000001,2.8750000000000004,4.4361410962780425,16.200000000000006,0.0,16.200000000000006,1.9985787946367897,32.85,19.85,9.88,1.7926046497581154,25.75668650793651,23.77457142857143,24.712261904761906,28.299523809523805,27.50059523809524,25.319727891156464,1.786669820146508,79.95039682539681,1.8295436507936509,6.33,174.14285714285714,,2008-06-01
2008,22,265,101180,4,0,0,0,1,81,9,3,76,91,21.0,1.0,19.0,0.0,1.0,0.0,286.0,110.2,4.591666666666667,5.6397592198577975,18.4,0.0,18.4,2.0713084254090526,34.94,22.22,11.38,1.7604943209943749,27.543640873015875,25.491190476190475,26.630357142857147,29.85416666666667,29.28130952380952,27.218299319727894,1.7476582104467917,79.396126984127,1.7339930555555554,4.65,203.28571428571428,,2008-06-08
2008,23,326,102646,2,0,0,1,1,105,15,5,88,109,31.0,5.0,21.0,0.0,5.0,0.0,357.0,508.20000000000016,21.175,19.485585530803558,82.4,3.0,79.4,1.7123275633136057,32.29,20.4,10.200000000000003,1.5338551772815838,25.76309523809524,24.070761904761905,24.9675,27.78571428571429,27.461666666666666,25.300136054421767,1.5246256484264884,86.2943849206349,1.6226388888888887,6.39,237.28571428571428,,2008-06-15
2008,24,410,104309,1,0,0,1,0,125,17,13,114,139,35.0,7.0,17.0,0.0,9.0,2.0,445.0,116.0,4.833333333333334,4.904892558914288,16.2,0.0,16.2,1.8287717100372944,34.64,22.2,9.25,1.7082777397392774,27.473039021164016,25.54038095238096,26.517261904761906,29.734305555555554,29.19543650793651,27.123287981859413,1.7022526947200445,80.57400892857143,2.198436507936508,8.0,282.0,,2008-06-22
2008,25,512,103172,7,0,0,1,0,169,26,12,120,177,45.0,7.0,25.0,0.0,9.0,4.0,557.0,47.8,1.9916666666666665,3.3411683281602933,12.999999999999998,0.0,12.999999999999998,2.099914757143208,33.85,21.93,10.300000000000004,2.0484652382855097,28.145376984126983,25.766476190476194,26.679047619047623,30.407142857142855,30.492857142857147,28.048639455782308,2.036489496697698,78.99146825396825,2.180654761904762,8.04,332.57142857142856,,2008-06-29
2008,26,422,100725,2,1,0,2,0,150,21,20,108,118,55.0,9.0,27.0,0.0,14.0,5.0,477.0,2.0,0.08333333333333333,0.2697287956233183,1.2000000000000002,0.0,1.2000000000000002,2.1256027276335434,35.68,22.53,10.61,2.03844051075158,29.7152843915344,27.38631746031745,28.24857142857143,31.83107142857143,32.3154761904762,29.52210884353741,2.030561106594361,74.08472619047619,2.224998015873016,6.1,371.57142857142856,1.0,2008-07-06
2008,27,305,98209,4,0,0,2,0,109,7,6,78,99,41.0,5.0,25.0,1.0,6.0,4.0,346.0,39.2,1.6333333333333335,5.5933708174453525,26.2,0.0,26.2,2.2247095411656117,35.47,24.07,10.34,2.18952240828338,29.72069444444445,27.217809523809525,28.41511904761905,32.260357142857146,32.316785714285714,29.319795918367344,2.1740775267599246,74.86472222222223,1.8271021825396827,6.62,383.14285714285717,1.0,2008-07-13
2008,28,299,100269,3,0,0,0,2,102,21,4,85,82,42.0,6.0,30.0,0.0,4.0,2.0,341.0,128.0,5.333333333333333,12.630076823982904,47.0,0.0,47.0,2.2401748721006705,33.78,22.92,10.119999999999996,2.077599542270011,28.17730158730159,25.924476190476195,27.31559523809524,31.326071428571428,29.862261904761905,27.51673469387755,2.054641512138474,77.92321428571428,1.8702172619047621,6.71,401.2857142857143,1.0,2008-07-20
2008,29,188,95472,4,0,0,3,1,67,11,10,49,43,26.0,3.0,16.0,0.0,7.0,0.0,214.0,230.2,9.591666666666667,12.715137047823255,53.8,0.2,53.6,2.0011562040233897,34.94,23.17,11.079999999999998,1.8293049647713011,28.87704365079365,26.77990476190477,27.50833333333333,30.77666666666667,31.127023809523806,28.78591836734694,1.811310156618605,75.23904761904761,2.1637924498746863,5.97,391.0,1.0,2008-07-27
2008,30,137,96035,1,0,0,0,0,51,6,5,33,41,10.0,1.0,6.0,0.0,3.0,0.0,147.0,105.6,4.4,6.3834023911200015,22.6,0.0,22.6,2.29307409415689,35.92,24.5,11.020000000000005,2.1842785312768007,29.841964285714283,27.471523809523806,28.41476190476191,32.36142857142857,32.47678571428571,29.40537414965987,2.161700956786125,74.36728174603176,2.1153968253968256,10.26,361.0,1.0,2008-08-03
2008,31,122,85762,0,0,0,1,0,62,2,4,32,21,7.0,1.0,4.0,0.0,2.0,0.0,129.0,554.4000000000002,23.100000000000005,27.916272331197177,101.0,0.4,100.6,1.6889071118952934,33.97,23.35,9.829999999999998,1.6615429611860513,27.89747023809524,25.961396825396825,26.7875,29.681130952380954,29.88831349206349,27.757789115646247,1.6246919776411592,82.86366071428571,2.3627380952380954,13.38,315.85714285714283,1.0,2008-08-10
2008,32,74,94520,1,0,0,0,0,36,3,4,18,12,7.0,2.0,3.0,0.0,2.0,0.0,81.0,520.0,21.66666666666667,23.73400910941507,93.8,0.2,93.6,1.971189468089708,33.38,22.58,10.119999999999996,1.83586760710244,27.243865740740752,25.429063492063488,26.166309523809524,29.77351190476191,29.199821428571425,26.59269841269841,1.8184922808020567,82.4609007936508,1.7815029761904764,4.69,247.85714285714286,0.0,2008-08-17
2008,33,87,93271,1,0,0,0,0,43,9,1,23,10,7.0,1.0,6.0,0.0,0.0,0.0,94.0,80.19999999999997,3.3416666666666663,7.338636093317678,31.0,0.0,31.0,2.2477355784224766,36.65,23.3,12.290000000000004,2.1671579358115545,28.86015873015873,26.438666666666666,27.159404761904764,31.215952380952377,31.50392857142857,28.704761904761906,2.146687594010261,76.21845238095239,1.8269444444444445,6.51,193.14285714285714,0.0,2008-08-24
2008,34,86,95462,2,0,0,0,0,36,4,3,24,17,4.0,0.0,3.0,0.0,1.0,0.0,90.0,28.6,1.1916666666666669,2.801539431884869,13.2,0.0,13.2,2.181413982624864,35.15,23.29,10.78,2.1144874953040524,29.247876984126982,26.94476190476191,27.768214285714286,31.684880952380947,31.78130952380952,28.898231292517014,2.097299752581208,75.43329365079366,2.354265873015873,7.41,156.57142857142858,0.0,2008-08-31
2008,35,64,94558,1,0,0,0,0,29,1,5,17,11,1.0,0.0,1.0,0.0,0.0,0.0,65.0,4.0,0.16666666666666666,0.6558543493308799,3.2,0.0,3.2,2.093047069957424,35.52,24.16,10.420000000000002,2.045574178320297,29.22859126984127,27.047428571428572,27.598452380952377,31.59607142857143,31.648452380952378,28.98244897959184,2.025614829825347,76.08845238095238,1.94468253968254,6.39,117.14285714285714,0.0,2008-09-07
2008,36,61,97409,0,0,0,0,0,38,3,1,9,10,1.0,0.0,1.0,0.0,0.0,0.0,62.0,161.2,6.716666666666666,11.158138642758233,36.8,0.0,36.8,1.9234639928611263,34.26,22.68,9.46,1.7888093477641895,27.55251984126984,25.868380952380953,26.536904761904758,30.266547619047607,29.221190476190475,26.83142857142857,1.7683439855220875,80.84656746031744,1.7454563492063493,4.31,95.42857142857143,0.0,2008-09-14
2008,37,84,97281,0,0,0,0,0,34,4,0,22,24,7.0,1.0,4.0,0.0,2.0,0.0,91.0,151.2,6.3,5.975311525442582,25.0,0.8,24.2,2.253887409613979,37.62,23.15,11.169999999999998,1.4098463832779065,27.9839914021164,26.788476190476192,26.91559523809524,29.61369047619048,29.8596626984127,27.445374149659862,1.3833314097308906,75.13208432539682,2.6233720238095235,8.24,87.42857142857143,0.0,2008-09-21
2008,38,91,100541,2,0,0,1,0,31,4,3,20,30,6.0,0.0,4.0,0.0,2.0,0.0,97.0,42.4,1.7666666666666666,2.089865122892877,6.2,0.0,6.2,1.896315146853885,34.68,23.5,9.43,1.8060798725135638,28.548710317460323,26.655142857142852,27.18392857142857,30.75726190476191,30.62976190476191,28.22993197278911,1.7879095656077832,79.16041666666666,1.79375,4.78,82.85714285714286,0.0,2008-09-28
2008,39,104,100513,1,0,0,0,0,54,2,0,20,27,7.0,2.0,3.0,0.0,2.0,0.0,111.0,872.8,36.36666666666667,18.162614891863587,68.39999999999999,6.6,61.79999999999999,1.6039416279890144,34.42,22.67,10.5,1.2340008659587312,27.6138492063492,26.321047619047622,26.581547619047623,28.95869047619048,29.023214285714282,27.55333333333333,1.2117542558409629,82.27410714285716,2.571051587301588,13.59,87.14285714285714,0.0,2008-10-05
2008,40,82,103366,0,0,0,0,0,33,7,1,17,24,4.0,1.0,0.0,0.0,3.0,0.0,86.0,91.6,3.8166666666666655,4.5660054530301935,19.6,0.0,19.6,1.3680913027391652,31.34,22.1,7.539999999999999,1.2446989669058357,26.059689153439148,24.812761904761906,25.14809523809524,27.713492063492065,27.434166666666666,25.74081632653061,1.2379463302351592,83.5831498015873,1.7924375,6.87,86.0,0.0,2008-10-12
2008,41,84,96945,0,0,0,0,0,34,5,0,22,23,5.0,1.0,2.0,1.0,0.0,1.0,89.0,157.8,6.575,7.43863299737023,25.6,0.0,25.6,1.8600196334666192,32.49,21.11,10.75,1.674743118746128,25.96513558201058,24.310285714285715,24.735,28.23523809523809,27.793373015873012,25.508197278911556,1.6648683710076435,80.31876289682539,1.9496875,5.77,85.85714285714286,0.0,2008-10-19
2008,42,69,105815,1,0,0,0,0,27,1,2,19,19,1.0,0.0,1.0,0.0,0.0,0.0,70.0,172.8,7.2,9.975273778524665,44.0,0.0,44.0,1.752355841236034,30.79,21.38,7.84,1.6259506703712077,25.99023478835979,24.20784920634921,24.89556547619048,27.880285714285712,28.00617460317461,25.656897959183677,1.6193969754492266,80.31512383184268,2.0199835884646262,4.77,86.57142857142857,0.0,2008-10-26
2008,43,50,105705,0,0,0,0,0,24,1,5,9,11,2.0,0.0,0.0,0.0,2.0,0.0,52.0,7.6,0.31666666666666665,0.7998188200633541,3.6,0.0,3.6,2.148296975875198,32.7,21.75,9.150000000000002,2.113341099498363,26.67955026455026,24.52466666666667,24.834642857142853,29.197202380952376,29.1768253968254,26.407312925170068,2.0938872341438977,76.40377370509606,1.9243637740183792,4.48,85.14285714285714,0.0,2008-11-02
2008,44,76,101713,1,0,0,0,1,30,2,3,16,23,5.0,0.0,4.0,0.0,1.0,0.0,81.0,33.2,1.3833333333333335,3.0187337781242665,10.6,0.0,10.6,1.6461388584696042,32.4,21.64,9.73,1.6480944719045063,26.851633597883602,25.28974603174603,25.37164682539683,28.99761904761905,28.67833333333333,26.542868480725627,1.6356523075867666,79.82499703839869,1.8622733918128656,5.02,83.71428571428571,0.0,2008-11-09
