年,週,腸病毒健保就診人次,健保就診總人次,就診類別_年齡層_住院_0-2,就診類別_年齡層_住院_10-14,就診類別_年齡層_住院_15+,就診類別_年齡層_住院_3-4,就診類別_年齡層_住院_5-9,就診類別_年齡層_門診_0-2,就診類別_年齡層_門診_10-14,就診類別_年齡層_門診_15+,就診類別_年齡層_門診_3-4,就診類別_年齡層_門診_5-9,腸病毒急診就診人次,年齡別_0,年齡別_1-3,年齡別_16+,年齡別_4-6,年齡別_7-15,腸病毒總人數,區累積雨量,區平均雨量,區雨量標準差,區雨量最大值,區雨量最小值,區雨量全距,日溫度標準差,日最高溫度,日最低溫度,日溫差,週溫度標準差,區週平均溫度,區週均溫1-5,區週均溫6-9,區週均溫10-13,區週均溫14-17,區週均溫18-24,區週溫度標準差,平均RH,平均風速,最大風速,腸病毒總人數_moving_avg,爆發預測,DT
2008,14,760,661989,2,0,0,0,2,171,53,40,207,285,42.0,2.0,26.0,0.0,11.0,3.0,802.0,6.6,0.275,0.4522888649870836,1.7999999999999998,0.0,1.7999999999999998,1.9372143354512068,34.0,17.86,11.4,1.6201022329771346,24.6169140625,22.853288690476194,23.16703125,26.372507440476195,26.63002232142857,24.55160714285714,1.6075454269800429,74.65686953694767,2.0755550430706684,14.35,,,2008-04-13
2008,15,936,819238,1,0,0,0,0,259,59,55,251,311,57.0,5.0,28.0,0.0,19.0,5.0,993.0,106.6,4.441666666666666,8.541658359840428,31.4,0.0,31.4,1.9534787496314352,34.31,21.77,11.25,1.8571864958873088,27.33477058531745,25.46668452380952,25.95809523809524,29.533839285714286,29.60095610119048,26.90421556122449,1.829582843406136,72.93895385807885,2.081644817504192,11.07,,,2008-04-20
2008,16,1168,797700,5,0,0,0,1,296,68,50,329,419,94.0,7.0,59.0,0.0,19.0,9.0,1262.0,47.4,1.975,3.798540909807115,15.800000000000002,0.0,15.800000000000002,2.0020819076961747,36.99,21.95,12.07,1.8945658664900484,27.25002728174603,25.19831845238095,25.378883928571426,29.33400297619048,29.461052827380954,27.330471938775506,1.8750006401512824,73.58377650235462,2.1540287277943526,12.81,,,2008-04-27
2008,17,1306,784979,2,0,0,1,0,291,82,59,351,520,94.0,8.0,53.0,0.0,26.0,7.0,1400.0,110.0,4.583333333333333,7.633089673979633,30.8,0.0,30.8,1.8049465684410104,35.65,19.8,11.330000000000002,1.6188826547988493,25.999150917658728,24.37214464285714,24.792109375,27.899698660714282,27.9696875,25.63898809523809,1.5924076485158691,69.16994844761729,2.273278806733652,12.88,,,2008-05-04
2008,18,1517,786295,7,0,0,2,3,375,79,67,413,571,100.0,13.0,54.0,1.0,25.0,7.0,1617.0,64.6,2.6916666666666664,3.1285385762666267,13.6,0.0,13.6,1.6619110816181593,34.86,19.11,9.96,1.5472047092393568,27.36290488591269,25.67924404761905,26.006272321428572,28.997622767857138,29.30187872023809,27.29862882653061,1.5328705621011294,72.061351485414,2.043860237875863,11.4,,,2008-05-11
2008,19,1808,782453,8,0,0,1,2,456,103,52,521,665,159.0,20.0,93.0,4.0,30.0,12.0,1967.0,8.000000000000002,0.3333333333333334,1.0106677373708528,5.0,0.0,5.0,1.8760595556846016,34.72,21.79,10.32,1.6847580368778226,27.930305059523807,26.220035714285718,26.93386160714286,29.89765625,30.037909226190475,27.39277636054421,1.6513646508176452,71.11215217449593,2.530101838863717,13.12,,,2008-05-18
2008,20,1947,810581,3,0,0,3,2,492,114,62,543,728,133.0,11.0,72.0,1.0,38.0,11.0,2080.0,4.000000000000001,0.1666666666666667,0.4668736600974119,2.2,0.0,2.2,1.9589066135663984,34.58,20.09,10.54,1.94243491413392,27.16577467757937,24.925932142857146,25.575889136904763,29.306183035714284,29.40744047619048,27.170125850340128,1.924556200058445,64.99310915734391,2.5361053199622194,17.44,1445.857142857143,,2008-05-25
2008,21,1803,751601,0,0,0,4,4,480,100,56,508,651,118.0,12.0,74.0,1.0,24.0,7.0,1921.0,287.7999999999999,11.991666666666665,15.165805836376338,47.6,0.0,47.6,1.8342544273982009,34.48,20.95,9.980000000000004,1.6136129582824927,27.433909846230154,25.7498125,26.431086309523806,29.710725446428572,29.05203794642857,26.98419642857143,1.5986252702695067,77.65074839451394,2.013521811532133,12.27,1605.7142857142858,,2008-06-01
2008,22,2238,716345,9,0,0,7,3,572,141,60,626,820,196.0,15.0,118.0,1.0,48.0,14.0,2434.0,1332.2,55.50833333333333,48.25760509262104,182.6,5.6,177.0,1.6069898238060625,35.26,24.12,8.979999999999997,1.4326387538518641,28.674847470238088,27.200898809523807,27.59660788690476,30.073406994047623,30.636703869047622,28.423567176870733,1.405651650222722,78.503741277828,1.9598092552990825,9.36,1811.5714285714287,,2008-06-08
2008,23,2623,704156,5,0,0,5,9,658,174,96,716,960,249.0,29.0,133.0,2.0,65.0,20.0,2872.0,5612.200000000003,233.84166666666667,243.0356780332909,942.0,17.2,924.8,1.3144045718879944,33.66,21.91,9.770000000000003,0.9843359462308754,26.70875992063492,25.562845238095235,25.875944940476195,27.830398065476192,27.745271577380954,26.769936224489797,0.9668162828379876,84.29913633682382,1.7904580287797032,9.64,2041.5714285714287,,2008-06-15
2008,24,3302,750241,10,0,0,8,2,781,194,80,885,1342,288.0,18.0,160.0,5.0,72.0,33.0,3590.0,3071.6,127.98333333333332,91.81019961650877,346.79999999999984,19.2,327.6,1.546112205764354,34.04,23.74,9.099999999999998,1.2335323568651906,28.60231460813492,27.437306547619052,27.656960565476194,29.821112351190468,30.27306547619048,28.323494897959186,1.213968387773233,77.2346788931789,2.3287476545132795,8.98,2354.4285714285716,,2008-06-22
2008,25,3891,737717,15,0,0,9,3,925,241,82,1015,1601,362.0,41.0,192.0,1.0,94.0,34.0,4253.0,3866.4,161.1,103.91545058154354,416.2,2.8000000000000003,413.4,1.5561890748984766,35.18,23.23,10.8,1.4586806474044185,28.924544766865072,27.257919642857146,27.963690476190482,30.480970238095242,30.740085565476193,28.73721301020409,1.4451061534869325,78.1107079432491,2.256858937334138,8.7,2731.0,,2008-06-29
2008,26,3956,726370,15,0,1,9,11,1061,230,108,1089,1432,348.0,33.0,189.0,5.0,87.0,34.0,4304.0,2741.8,114.24166666666667,61.13013856175781,277.79999999999995,36.2,241.6,1.5895644134702933,34.85,24.7,9.849999999999998,1.2906437579698735,29.058634672619053,27.785452380952385,28.28533482142857,30.554389880952378,30.72875,28.600867346938767,1.2732237011951075,80.53695406343843,2.4774909507722005,10.21,3064.8571428571427,1.0,2008-07-06
